#{"t_start": 1730710221.010298, "env_id": "None"}
r,l,t
-98.050613,100,113.637398
-99.144571,100,113.699878
-97.958701,100,113.762337
-98.310131,100,113.826503
-97.624262,100,115.190271
-97.939391,100,115.26437
-98.316835,100,115.336168
-98.431936,100,115.405017
-97.38328,100,115.456734
-97.38328,100,115.50774
-97.38328,100,115.558771
-97.38328,100,115.608056
-97.38328,100,115.657784
-97.621303,100,115.729099
-98.513584,100,115.793233
-97.675928,100,115.856932
-97.942283,100,115.918825
-98.143298,100,115.981544
-98.104186,100,116.043144
-97.772558,100,116.103518
-97.854462,100,116.162801
-97.62814,100,116.222642
-97.38328,100,116.282013
-97.38328,100,116.326312
-97.38328,100,116.369756
